symbol,date,close_price,ytd_pct_chg,company_name
MMM,2024-02-01,95.910003662109375,-0.1280908757990057,3M
AOS,2024-02-01,79.56999969482422,-0.02296172262430174,A. O. Smith
ABT,2024-02-01,114.48999786376953,0.042239412417848676,Abbott
ABBV,2024-02-01,167.58999633789062,0.048617123373729365,AbbVie
ACN,2024-02-01,370.9100036621094,0.06915135854326326,Accenture
ADBE,2024-02-01,627.90997314453125,0.08247274504157098,Adobe Inc.
AMD,2024-02-01,170.47999572753906,0.23019189980509758,Advanced Micro Devices
AES,2024-02-01,17.15999984741211,-0.11271976669990225,AES Corporation
AFL,2024-02-01,76.19999694824219,-0.08501443245475593,Aflac
A,2024-02-01,133.0500030517578,-0.04108105908643023,Agilent Technologies
APD,2024-02-01,259.55999755859375,-0.050864824660908026,Air Products and Chemicals
ABNB,2024-02-01,146.49000549316406,0.08930703559775299,Airbnb
AKAM,2024-02-01,124.04000091552734,0.0612594441338421,Akamai
ALB,2024-02-01,116.77999877929688,-0.20498332585923795,Albemarle Corporation
ARE,2024-02-01,122.47000122070312,-0.052896113734680394,Alexandria Real Estate Equities
ALGN,2024-02-01,273.3800048828125,0.01658482534724648,Align Technology
ALLE,2024-02-01,127.2300033569336,0.023983930438097323,Allegion
LNT,2024-02-01,49.84000015258789,-0.0393215280171052,Alliant Energy
ALL,2024-02-01,156.19000244140625,0.08608584307755374,Allstate
GOOGL,2024-02-01,141.16000366210938,0.021640048728292394,Alphabet Inc. (Class A)
GOOG,2024-02-01,142.7100067138672,0.022571003227131126,Alphabet Inc. (Class C)
MO,2024-02-01,41.720001220703125,0.003366988539761806,Altria
AMZN,2024-02-01,159.27999877929688,0.06236247955894125,Amazon
AMCR,2024-02-01,9.460000038146973,-0.029743585831079722,Amcor
AEE,2024-02-01,70.69999694824219,-0.04459463583456502,Ameren
AAL,2024-02-01,14.34000015258789,0.06696433037975758,American Airlines Group
AEP,2024-02-01,79.69000244140625,-0.04195717541434496,American Electric Power
AXP,2024-02-01,203.22000122070312,0.07917797172436392,American Express
AIG,2024-02-01,68.81999969482422,-2.9048001351217323e-4,American International Group
AMT,2024-02-01,198.38999938964844,-0.09332296694293951,American Tower
AWK,2024-02-01,125.23999786376953,-0.06194290302845429,American Water Works
AMP,2024-02-01,386.0199890136719,0.01844178628838611,Ameriprise Financial
AME,2024-02-01,165.8699951171875,0.01841959900496981,Ametek
AMGN,2024-02-01,324.55999755859375,0.0913614498532358,Amgen
APH,2024-02-01,102.41999816894531,0.05773000343058787,Amphenol
ADI,2024-02-01,192.00999450683594,-0.008110379736378737,Analog Devices
ANSS,2024-02-01,332.6600036621094,-0.05762038622631904,Ansys
AON,2024-02-01,300,0.04159437345773753,Aon
APA,2024-02-01,30.799999237060547,-0.14705071402764835,APA Corporation
AAPL,2024-02-01,186.86000061035156,0.006571866110290259,Apple Inc.
AMAT,2024-02-01,166.97000122070312,0.08162211894837812,Applied Materials
APTV,2024-02-01,83.5,-0.07397136857481346,Aptiv
ACGL,2024-02-01,82.089996337890625,0.08656509625356845,Arch Capital Group
ADM,2024-02-01,56.7599983215332,-0.21990109050216955,Archer-Daniels-Midland
ANET,2024-02-01,262.9800109863281,0.13568843392211516,Arista Networks
AJG,2024-02-01,232.1199951171875,0.031644422743055456,Arthur J. Gallagher & Co.
AIZ,2024-02-01,169.3000030517578,-0.0032968183008450502,Assurant
T,2024-02-01,18.040000915527344,0.045797154523324224,AT&T
ATO,2024-02-01,115.79000091552734,-0.00974941748630076,Atmos Energy
ADSK,2024-02-01,255.07000732421875,0.089484079292522,Autodesk
ADP,2024-02-01,247.0800018310547,0.05852113687458127,Automated Data Processing
AZO,2024-02-01,2798.14990234375,0.08941012355217048,AutoZone
AVB,2024-02-01,178.14999389648438,-0.053249744220460915,AvalonBay Communities
AVY,2024-02-01,199.4600067138672,-0.0010516925777724895,Avery Dennison
AXON,2024-02-01,252.6999969482422,0.004252243550716406,Axon Enterprise
BKR,2024-02-01,28.6299991607666,-0.15620398163099047,Baker Hughes
BALL,2024-02-01,59.40999984741211,0.04264654834499515,Ball Corporation
BAC,2024-02-01,33.54999923706055,-0.010324550827856771,Bank of America
BK,2024-02-01,55.5,0.05956469775224904,Bank of New York Mellon
BBWI,2024-02-01,43.5099983215332,-0.027709534714341788,"Bath & Body Works, Inc."
BAX,2024-02-01,39.189998626708984,0.008751613022954796,Baxter International
BDX,2024-02-01,242.35000610351562,-0.012509135719723785,Becton Dickinson
BRK-B,2024-02-01,386.44000244140625,0.06615905631421981,Berkshire Hathaway
BBY,2024-02-01,75.23999786376953,-0.026145537362257887,Best Buy
BIO,2024-02-01,328.9599914550781,0.002957411047849412,Bio-Rad
TECH,2024-02-01,68.54000091552734,-0.10650499630365728,Bio-Techne
BIIB,2024-02-01,247.8300018310547,-0.07425942347526959,Biogen
BLK,2024-02-01,784.92999267578125,-0.019205292204957036,BlackRock
BX,2024-02-01,124.30000305175781,-0.030950347614165263,Blackstone
BA,2024-02-01,209.80999755859375,-0.16662693781200866,Boeing
BKNG,2024-02-01,3558.449951171875,0.022378551516675893,Booking Holdings
BWA,2024-02-01,34.47999954223633,-0.040623237069008944,BorgWarner
BXP,2024-02-01,65.29000091552734,-0.09445211792949026,Boston Properties
BSX,2024-02-01,64.81999969482422,0.12067772344091243,Boston Scientific
BMY,2024-02-01,48.66999816894531,-0.07752085448643042,Bristol Myers Squibb
AVGO,2024-02-01,1200.010009765625,0.10561278480083014,Broadcom Inc.
